id,title,room,day,no,elevator_pitch,prerequisite_knowledge,audience_takeaway,talk_format,audience_python_level,audience_expertise,track,lang_of_talk,lang_of_slide,description,name,profile
100001,TBD,,1,,,,,Keynote,,,,,,,芝世弐,"2017年に独学で機械学習を始め，同年に初参加の将棋電王トーナメントにて準優勝。
翌年には世界コンピュータ将棋選手権に初参加で優勝してしまう。
以後，2019年および2020年の大会では準優勝と参加大会の平均順位が1点台という驚異的な強さを誇る。
本職は数値シミュレーションを主とする研究者であるが最近の発表は大半将棋に関するものになっている。
趣味はビールと将棋観戦。

In 2017, he began self-taught machine learning, and in the same year, he became the runner-up in the Shogi (Japanese Chess) Den-O tournament he participated in for the first time.
The following year, he won the World Computer Shogi Championship even though it was the first time he participated.
Since then, he has been a runner-up in the 2019 and 2020 meets and has a phenomenal one-point average ranking in the participating meets.
He is a researcher who mainly works on numerical simulations, but most of his recent publications have been about shogi.
His hobbies are beer and watching shogi."
100002,TBD,,2,,,,,Keynote,,,,,,,Rich Jones," Rich is the cofounder of Gun.io, a global consulting firm staffed by the best hackers from the Free and Open Source software community. He is the author of Zappa, the leading server-less Python framework, used by thousands of companies and users to save time and money for their web deployments. He has worked on everything from cloud GPU clusters for medical and scientific computing to mobile peer to peer file sharing applications, and on everything in between. In his spare time, he enjoys skateboarding, dirty southern trap music, and Laphroaig.

RichはGun.ioの共同設立者です。
Gun.ioはグローバルなコンサルティングファームで、フリーソフトウェアやオープンソースソフトウェアのコミュニティから来た最も優秀なエンジニア（ハッカー）たちが所属しています。
彼は、Pythonにおける主要なサーバレスフレームワーク、Zappaの作者です。
Zappaは、何千もの企業やユーザによって使われ、Web開発における時間と費用を節約しています。彼は医療や科学計算向けのクラウドGPUクラスタからモバイルのピア・ツー・ピアのファイル共有アプリまで、そしてその間にあるあらゆるものに取り組んできました。彼の趣味はスケートボード、サザン・ヒップホップと、ラフロイグを飲むことです。"
100011,TBD,#pyconjp_1,1,1,,,,Invited talks(45min),,,,English,,,,
100012,ある個人開発 OSS の歩み：5 歳になった Janome のこれまでと，これから,#pyconjp_1,1,2,2015年に生まれた Janome は，今年で開発5年目となりました。PyConJP 2015での発表から，これまでに行ってきた機能開発や改善について，技術的な解説を交えつつ振り返ります。また，今後追加していきたい機能や，個人開発のモチベーションをゆるく長く保ち続けるコツについてもお話できればと思います。,,,Invited talks(45min),,,,Japanese,,https://pyconjp.blogspot.com/2020/08/invited-talks1.html,打田智子,2007年に筑波大学大学院システム情報工学研究科の博士前期課程を修了後，いくつかのIT系企業を経て，現在は株式会社 LegalForce の R&D チームで検索システムや言語処理の研究開発に従事。2015年に Python 製日本語形態素解析ライブラリ Janome を OSS として公開し，同年 PyConJP にも登壇。Janome の開発をほそぼそ続けながら，2019年から OSS 検索エンジンライブラリ Apache Lucene のコミッターも務める。興味のある分野は情報検索と機械学習，自然言語処理。海の見える部屋で猫と暮らすのが夢。
100013,続・小さく始めて大きく育てるMLOps2020,#pyconjp_1,1,3,"乱立するJupyter Notebook、身元不明なデータ、再現しない学習結果、引き継ぎできない実験コード…
そんな課題を解決するべく、今日から始められるMLOpsを紹介します。
趣味の機械学習から研究室での実験管理、プロダクトでの運用まで、広く参考になれば幸いです。",,,Invited talks(30min),,,,Japanese,,https://pyconjp.blogspot.com/2020/08/pycon-jp-2020-3-announcement-of-invited.html,岩崎祐貴,"株式会社サイバーエージェント AI Lab Research Engineer。
2014年にサーバーサイドエンジニアとして入社後、インターネット広告事業でScala、JavaScript、Pythonを使った配信基盤や広告レンダリングエンジン、効果予測システムを作成。
フロント・インフラ・データ分析業務を経て、2017年から現職。
クリエイティブリサーチグループにて広告のテキストや画像、動画等の高次元特徴から配信影響を紐解く研究に従事。
ゲームでは魔法使いのような紙耐久アタッカーが好き。"
100014,Metaclass？Descriptor？完全に理解した()あなたに,#pyconjp_1,2,1,"Python3.6で追加されたとあるダンダーメソッドが、DescriptorやMetaclassに大きく影響を与えました。
というのはどういうことなのか。完全に理解したあなたと私のために、metaclassとdescriptorの復習から始めます。
存在は知っているけれどどう使われてるの？となりがちなMetaclassとDescriptorを「ちゃんと」理解していきましょう。",,,Invited talks(45min),,,,Japanese,,https://pyconjp.blogspot.com/2020/08/invited-talks2.html,露木誠,"2000年頃にファッションジュエリー業界からIT業界へ移り、以来ソフトウェアエンジニアとして働いています。
Python、Java、Perl、Rubyなどのプログラミング言語を用いてB向けC向けを問わずさまざまな開発に従事してきました。
ソフトウェアエンジニア・チーフアーキテクト・テックリードなどとして開発に携わるのみならず、プログラミング講習の講師や自社サービス用工場の立ち上げなど、開発から外れた仕事もしてきました。
ここ数年はエンジニアが働きやすい環境づくりなどにも関わっています。"
100015,過去2回の登壇内容からのPython×ドローンの進化、アップデート内容と今後について展望,#pyconjp_1,2,2,"過去2年(2017，2018)のPyConJP発表からの進化・進捗などをまとめて、Pythonとドローンをどのように扱い、活用すべきかを自身の経験も踏まえてお話をします。
2017年および2018年の発表時には何ができて、何が問題・不足したのか。そしてその後はどのように解決したのか。
果たしてPythonとドローンの組み合わせは良かったのか？
現在市販されているミニドローン「Tello」がPythonでプログラミングできます。では、実際にどのような動作ができるのかを調査しまとめます。
最後に、ハードウェアとソフトウェアの両方を実験して感じたことをまとめ、トークします。",,,Invited talks(30min),,,,Japanese,,https://pyconjp.blogspot.com/2020/08/invited-talks4.html,片寄里菜,"片寄里菜さんは、幼い時より航空機に興味があり、もっと学びたいという想いから東海大学工学研究科・航空宇宙学専攻の博士課程前期に進み、ヘリコプターなど垂直離着陸機の研究を行っていま
大学院修了後は、WEB関連の仕事をしながら個人的な研究テーマを進め、Pythonと出会いました。Pythonでは主にRaspberryPiを使ったモノを動かすプログラミングに視点を置き、開発などを行っていました。
PyConJPには2016年に初参加。Pythonの楽しさや奥深さを知り、様々なコミュニティに参加し友人・知人を増やしたようです。またPyLadiesTokyoコミュニティ参加をきっかけに、今ではスタッフとして活動しています。
登壇経験としてPyConJP2017と2018ではドローンとPythonに関する内容で発表・実演を行いました。またPyCon Thailand2019ではPyLadiesのコミュニティ活動に関する海外の登壇経験もあります。PyConUSなど海外のPyConに参加している経験もあり、精力的に活動を行っています。
ご自身の仕事は2018年に株式会社moegiを創業し、計測用のスマホアプリなどを開発。日本だけでなく世界の空の活用法や問題点なども調べ、航空機分野の開発者として活躍できるようにと日々活動をしています。"
100021,オープニング,,1,,,,,,,,,,,,,
100022,クロージング,,1,,,,,,,,,,,,,
100023,オープニング,#pyconjp_1,2,,,,,,,,,,,,,
